WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=2.9 ex=-3.52cm ang=3.9deg z=135.3cm tg=0.00 mode=0 conf=0.96 lost=0 L=5.96 R=6.07 expx=-7.8
th=120 steer=2.5 ex=-3.10cm ang=3.3deg z=135.3cm tg=0.00 mode=0 conf=0.97 lost=0 L=6.00 R=6.10 expx=-6.6
th=120 steer=2.2 ex=-2.66cm ang=3.3deg z=135.3cm tg=0.00 mode=0 conf=0.93 lost=0 L=6.04 R=6.12 expx=-5.9
th=120 steer=2.0 ex=-2.31cm ang=2.7deg z=135.3cm tg=0.00 mode=0 conf=0.89 lost=0 L=6.06 R=6.13 expx=-5.1
th=120 steer=1.6 ex=-1.99cm ang=3.2deg z=135.3cm tg=0.00 mode=0 conf=0.87 lost=0 L=6.10 R=6.16 expx=-4.4
th=120 steer=1.5 ex=-1.81cm ang=3.5deg z=135.3cm tg=0.00 mode=0 conf=0.86 lost=0 L=6.12 R=6.17 expx=-4.0
th=120 steer=1.5 ex=-1.66cm ang=1.4deg z=135.3cm tg=0.00 mode=0 conf=0.74 lost=0 L=6.11 R=6.17 expx=-3.5
th=120 steer=1.3 ex=-1.37cm ang=1.2deg z=135.3cm tg=0.00 mode=0 conf=0.75 lost=0 L=6.14 R=6.18 expx=-3.0
th=120 steer=1.2 ex=-1.11cm ang=0.8deg z=135.3cm tg=0.00 mode=0 conf=0.74 lost=0 L=6.15 R=6.20 expx=-2.5
th=120 steer=1.0 ex=-0.89cm ang=0.7deg z=135.3cm tg=0.00 mode=0 conf=0.74 lost=0 L=6.17 R=6.21 expx=-2.0
th=120 steer=0.6 ex=-0.77cm ang=1.6deg z=135.3cm tg=0.00 mode=0 conf=0.74 lost=0 L=6.21 R=6.23 expx=-1.5
