WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=100 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=108 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=116 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=124 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=132 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=140 L=4.09 R=4.49 expx=36.5
th=120 steer=-12.6 ex=13.95cm ang=33.7deg z=80.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.40 R=3.94 expx=52.0
th=120 steer=11.0 ex=13.95cm ang=33.7deg z=80.4cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.09 R=4.49 expx=52.0
th=120 steer=-10.6 ex=13.28cm ang=33.7deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=2 L=4.52 R=4.13 expx=46.0
th=120 steer=11.0 ex=12.41cm ang=33.7deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=7 L=4.09 R=4.49 expx=43.0
th=120 steer=-6.9 ex=8.52cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=3 L=4.72 R=4.47 expx=29.5
th=120 steer=-5.1 ex=5.28cm ang=26.6deg z=86.4cm tg=0.00 mode=0 conf=0.27 lost=0 L=5.65 R=5.46 expx=18.2
th=120 steer=-4.1 ex=2.50cm ang=35.8deg z=83.2cm tg=0.00 mode=0 conf=0.40 lost=0 L=5.72 R=5.57 expx=9.0
th=120 steer=-1.6 ex=-0.50cm ang=41.6deg z=80.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=5.01 R=4.95 expx=-2.0
th=120 steer=-0.4 ex=-1.86cm ang=40.7deg z=83.6cm tg=0.00 mode=0 conf=0.29 lost=0 L=5.98 R=5.96 expx=-7.2
th=120 steer=0.7 ex=-2.84cm ang=40.7deg z=83.6cm tg=1.00 mode=1 conf=0.00 lost=5 L=5.03 R=5.06 expx=-10.8
th=120 steer=1.8 ex=-3.85cm ang=37.9deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.94 R=5.00 expx=-13.5
th=120 steer=2.8 ex=-5.15cm ang=37.9deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.84 R=4.94 expx=-18.0
th=120 steer=11.0 ex=-5.15cm ang=37.9deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.09 R=4.49 expx=-18.0
th=120 steer=3.8 ex=-5.73cm ang=33.7deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=2 L=4.75 R=4.89 expx=-20.0
th=120 steer=5.3 ex=-6.14cm ang=33.7deg z=83.6cm tg=0.00 mode=0 conf=0.30 lost=0 L=5.44 R=5.64 expx=-22.5
th=120 steer=5.4 ex=-6.52cm ang=34.8deg z=83.2cm tg=0.00 mode=0 conf=0.52 lost=0 L=5.44 R=5.63 expx=-23.5
th=120 steer=5.4 ex=-6.45cm ang=33.7deg z=86.4cm tg=0.00 mode=0 conf=0.36 lost=0 L=5.43 R=5.63 expx=-22.5
th=120 steer=10.4 ex=-7.36cm ang=30.5deg z=118.9cm tg=1.00 mode=1 conf=0.33 lost=0 L=4.91 R=5.29 expx=-28.2
th=120 steer=9.2 ex=-7.20cm ang=30.1deg z=118.9cm tg=1.00 mode=1 conf=0.53 lost=0 L=5.04 R=5.37 expx=-27.0
th=120 steer=5.0 ex=-5.96cm ang=31.4deg z=83.2cm tg=0.00 mode=0 conf=0.56 lost=0 L=5.48 R=5.66 expx=-21.5
th=120 steer=8.7 ex=-6.66cm ang=29.0deg z=118.9cm tg=1.00 mode=1 conf=0.37 lost=0 L=5.09 R=5.41 expx=-25.0
th=120 steer=4.2 ex=-5.44cm ang=29.1deg z=86.4cm tg=0.00 mode=0 conf=0.38 lost=0 L=5.56 R=5.72 expx=-19.0
th=120 steer=4.8 ex=-5.73cm ang=29.1deg z=86.4cm tg=0.00 mode=0 conf=0.38 lost=0 L=5.49 R=5.67 expx=-20.0
th=120 steer=4.6 ex=-5.52cm ang=26.6deg z=86.4cm tg=0.00 mode=0 conf=0.39 lost=0 L=5.51 R=5.68 expx=-19.2
th=120 steer=5.6 ex=-6.47cm ang=31.4deg z=80.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.59 R=4.79 expx=-24.2
th=120 steer=3.8 ex=-5.30cm ang=29.1deg z=86.4cm tg=0.00 mode=0 conf=0.40 lost=0 L=5.61 R=5.74 expx=-18.5
th=120 steer=3.2 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=4 L=4.80 R=4.92 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=12 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=20 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=28 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=36 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=44 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=52 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=60 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=68 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=76 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=84 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=92 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=100 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=108 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=116 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=124 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=132 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=140 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=148 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=156 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=164 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=172 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=180 L=4.09 R=4.49 expx=-18.5
th=120 steer=11.0 ex=-5.30cm ang=29.1deg z=86.4cm tg=1.00 mode=1 conf=0.00 lost=188 L=4.09 R=4.49 expx=-18.5
th=120 steer=19.6 ex=-13.51cm ang=30.3deg z=72.4cm tg=0.00 mode=0 conf=0.55 lost=0 L=3.94 R=4.66 expx=-56.0
th=120 steer=14.2 ex=-10.73cm ang=30.3deg z=72.4cm tg=0.00 mode=0 conf=0.52 lost=0 L=4.50 R=5.03 expx=-44.5
th=120 steer=11.5 ex=-8.92cm ang=30.3deg z=72.4cm tg=0.00 mode=0 conf=0.52 lost=0 L=4.79 R=5.22 expx=-37.0
